periodo,tipo,subtipo,barrio,total
12/2020,Hurto (sin violencia),Hurto Automotor,Coghlan,1
12/2020,Hurto (sin violencia),Hurto Automotor,Colegiales,1
12/2020,Hurto (sin violencia),Hurto Automotor,Constitución,5
12/2020,Hurto (sin violencia),Hurto Automotor,Flores,12
12/2020,Hurto (sin violencia),Hurto Automotor,Floresta,9
12/2020,Hurto (sin violencia),Hurto Automotor,Liniers,15
12/2020,Hurto (sin violencia),Hurto Automotor,Mataderos,13
12/2020,Hurto (sin violencia),Hurto Automotor,Monserrat,6
12/2020,Hurto (sin violencia),Hurto Automotor,Monte Castro,2
12/2020,Hurto (sin violencia),Hurto Automotor,Nueva Pompeya,7
12/2020,Hurto (sin violencia),Hurto Automotor,Nuñez,5
12/2020,Hurto (sin violencia),Hurto Automotor,Palermo,11
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,5
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,8
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,6
12/2020,Hurto (sin violencia),Hurto Automotor,Paternal,3
12/2020,Hurto (sin violencia),Hurto Automotor,Recoleta,5
12/2020,Hurto (sin violencia),Hurto Automotor,Saavedra,1
12/2020,Hurto (sin violencia),Hurto Automotor,San Cristóbal,9
12/2020,Hurto (sin violencia),Hurto Automotor,San Nicolás,1
12/2020,Hurto (sin violencia),Hurto Automotor,San Telmo,2
12/2020,Hurto (sin violencia),Hurto Automotor,Vélez Sársfield,4
12/2020,Hurto (sin violencia),Hurto Automotor,Versalles,2
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Crespo,8
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Del Parque,10
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Devoto,4
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Gral. Mitre,4
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Lugano,12
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Luro,6
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Ortuzar,1
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Pueyrredón,5
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Santa Rita,2
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Soldati,7
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Urquiza,7
12/2020,Lesiones,Siniestro Vial,,45
12/2020,Lesiones,Siniestro Vial,Almagro,25
12/2020,Lesiones,Siniestro Vial,Balvanera,38
12/2020,Lesiones,Siniestro Vial,Barracas,18
12/2020,Lesiones,Siniestro Vial,Belgrano,22
12/2020,Lesiones,Siniestro Vial,Boca,5
12/2020,Lesiones,Siniestro Vial,Boedo,9
12/2020,Lesiones,Siniestro Vial,Caballito,34
12/2020,Lesiones,Siniestro Vial,Chacarita,14
12/2020,Lesiones,Siniestro Vial,Coghlan,6
12/2020,Lesiones,Siniestro Vial,Colegiales,8
12/2020,Lesiones,Siniestro Vial,Constitución,13
12/2020,Lesiones,Siniestro Vial,Flores,40
12/2020,Lesiones,Siniestro Vial,Floresta,16
12/2020,Lesiones,Siniestro Vial,Liniers,8
12/2020,Lesiones,Siniestro Vial,Mataderos,34
12/2020,Lesiones,Siniestro Vial,Monserrat,13
12/2020,Lesiones,Siniestro Vial,Monte Castro,9
12/2020,Lesiones,Siniestro Vial,Nueva Pompeya,15
12/2020,Lesiones,Siniestro Vial,Nuñez,16
12/2020,Lesiones,Siniestro Vial,Palermo,57
12/2020,Lesiones,Siniestro Vial,Parque Avellaneda,11
12/2020,Lesiones,Siniestro Vial,Parque Chacabuco,15
12/2020,Lesiones,Siniestro Vial,Parque Chas,4
12/2020,Lesiones,Siniestro Vial,Parque Patricios,7
12/2020,Lesiones,Siniestro Vial,Paternal,6
12/2020,Lesiones,Siniestro Vial,Puerto Madero,1
12/2020,Lesiones,Siniestro Vial,Recoleta,9
12/2020,Lesiones,Siniestro Vial,Retiro,14
12/2020,Lesiones,Siniestro Vial,Saavedra,14
12/2020,Lesiones,Siniestro Vial,San Cristóbal,9
12/2020,Lesiones,Siniestro Vial,San Nicolás,6
12/2020,Lesiones,Siniestro Vial,San Telmo,4
12/2020,Lesiones,Siniestro Vial,Vélez Sársfield,13
12/2020,Lesiones,Siniestro Vial,Versalles,11
12/2020,Lesiones,Siniestro Vial,Villa Crespo,31
12/2020,Lesiones,Siniestro Vial,Villa Del Parque,6
12/2020,Lesiones,Siniestro Vial,Villa Devoto,17
12/2020,Lesiones,Siniestro Vial,Villa Gral. Mitre,6
12/2020,Lesiones,Siniestro Vial,Villa Lugano,16
12/2020,Lesiones,Siniestro Vial,Villa Luro,13
12/2020,Lesiones,Siniestro Vial,Villa Ortuzar,3
12/2020,Lesiones,Siniestro Vial,Villa Pueyrredón,7
12/2020,Lesiones,Siniestro Vial,Villa Real,4
12/2020,Lesiones,Siniestro Vial,Villa Riachuelo,5
12/2020,Lesiones,Siniestro Vial,Villa Santa Rita,7
12/2020,Lesiones,Siniestro Vial,Villa Soldati,14
12/2020,Lesiones,Siniestro Vial,Villa Urquiza,15
12/2020,Robo (con violencia),,,8
12/2020,Robo (con violencia),,Agronomía,9
12/2020,Robo (con violencia),,Almagro,120
12/2020,Robo (con violencia),,Balvanera,195
12/2020,Robo (con violencia),,Barracas,97
12/2020,Robo (con violencia),,Belgrano,126
12/2020,Robo (con violencia),,Boca,66
12/2020,Robo (con violencia),,Boedo,63
12/2020,Robo (con violencia),,Caballito,114
12/2020,Robo (con violencia),,Chacarita,53
12/2020,Robo (con violencia),,Coghlan,15
12/2020,Robo (con violencia),,Colegiales,34
12/2020,Robo (con violencia),,Constitución,106
12/2020,Robo (con violencia),,Flores,179
12/2020,Robo (con violencia),,Floresta,35
12/2020,Robo (con violencia),,Liniers,24
12/2020,Robo (con violencia),,Mataderos,60
12/2020,Robo (con violencia),,Monserrat,35
12/2020,Robo (con violencia),,Monte Castro,18
12/2020,Robo (con violencia),,Nueva Pompeya,77
12/2020,Robo (con violencia),,Nuñez,48
12/2020,Robo (con violencia),,Palermo,273
12/2020,Robo (con violencia),,Parque Avellaneda,60
12/2020,Robo (con violencia),,Parque Chacabuco,63
12/2020,Robo (con violencia),,Parque Chas,6
12/2020,Robo (con violencia),,Parque Patricios,51
12/2020,Robo (con violencia),,Paternal,21
12/2020,Robo (con violencia),,Puerto Madero,2
12/2020,Robo (con violencia),,Recoleta,159
12/2020,Robo (con violencia),,Retiro,92
12/2020,Robo (con violencia),,Saavedra,43
12/2020,Robo (con violencia),,San Cristóbal,72
12/2020,Robo (con violencia),,San Nicolás,59
12/2020,Robo (con violencia),,San Telmo,27
12/2020,Robo (con violencia),,Vélez Sársfield,20
12/2020,Robo (con violencia),,Versalles,13
12/2020,Robo (con violencia),,Villa Crespo,70
12/2020,Robo (con violencia),,Villa Del Parque,43
12/2020,Robo (con violencia),,Villa Devoto,28
12/2020,Robo (con violencia),,Villa Gral. Mitre,26
12/2020,Robo (con violencia),,Villa Lugano,118
12/2020,Robo (con violencia),,Villa Luro,18
12/2020,Robo (con violencia),,Villa Ortuzar,11
12/2020,Robo (con violencia),,Villa Pueyrredón,31
12/2020,Robo (con violencia),,Villa Real,9
12/2020,Robo (con violencia),,Villa Riachuelo,10
12/2020,Robo (con violencia),,Villa Santa Rita,27
12/2020,Robo (con violencia),,Villa Soldati,103
12/2020,Robo (con violencia),,Villa Urquiza,61
12/2020,Robo (con violencia),Con uso de moto,,2
12/2020,Robo (con violencia),Con uso de moto,Almagro,30
12/2020,Robo (con violencia),Con uso de moto,Balvanera,23
12/2020,Robo (con violencia),Con uso de moto,Barracas,12
12/2020,Robo (con violencia),Con uso de moto,Belgrano,18
12/2020,Robo (con violencia),Con uso de moto,Boca,3
12/2020,Robo (con violencia),Con uso de moto,Boedo,12
12/2020,Robo (con violencia),Con uso de moto,Caballito,22
12/2020,Robo (con violencia),Con uso de moto,Chacarita,1
12/2020,Robo (con violencia),Con uso de moto,Coghlan,1
12/2020,Robo (con violencia),Con uso de moto,Colegiales,2
12/2020,Robo (con violencia),Con uso de moto,Constitución,13
12/2020,Robo (con violencia),Con uso de moto,Flores,11
12/2020,Robo (con violencia),Con uso de moto,Floresta,5
12/2020,Robo (con violencia),Con uso de moto,Liniers,4
12/2020,Robo (con violencia),Con uso de moto,Mataderos,10
12/2020,Robo (con violencia),Con uso de moto,Monserrat,4
12/2020,Robo (con violencia),Con uso de moto,Monte Castro,2
12/2020,Robo (con violencia),Con uso de moto,Nueva Pompeya,17
12/2020,Robo (con violencia),Con uso de moto,Nuñez,9
12/2020,Robo (con violencia),Con uso de moto,Palermo,23
12/2020,Robo (con violencia),Con uso de moto,Parque Avellaneda,5
12/2020,Robo (con violencia),Con uso de moto,Parque Chacabuco,21
12/2020,Robo (con violencia),Con uso de moto,Parque Chas,2
12/2020,Robo (con violencia),Con uso de moto,Parque Patricios,6
12/2020,Robo (con violencia),Con uso de moto,Recoleta,16
12/2020,Robo (con violencia),Con uso de moto,Retiro,7
12/2020,Robo (con violencia),Con uso de moto,Saavedra,6
12/2020,Robo (con violencia),Con uso de moto,San Cristóbal,6
12/2020,Robo (con violencia),Con uso de moto,San Nicolás,5
12/2020,Robo (con violencia),Con uso de moto,San Telmo,1
12/2020,Robo (con violencia),Con uso de moto,Vélez Sársfield,1
12/2020,Robo (con violencia),Con uso de moto,Versalles,2
12/2020,Robo (con violencia),Con uso de moto,Villa Crespo,3
12/2020,Robo (con violencia),Con uso de moto,Villa Del Parque,4
12/2020,Robo (con violencia),Con uso de moto,Villa Devoto,4
12/2020,Robo (con violencia),Con uso de moto,Villa Lugano,7
12/2020,Robo (con violencia),Con uso de moto,Villa Luro,1
12/2020,Robo (con violencia),Con uso de moto,Villa Ortuzar,1
12/2020,Robo (con violencia),Con uso de moto,Villa Pueyrredón,2
12/2020,Robo (con violencia),Con uso de moto,Villa Real,1
12/2020,Robo (con violencia),Con uso de moto,Villa Santa Rita,9
12/2020,Robo (con violencia),Con uso de moto,Villa Soldati,9
12/2020,Robo (con violencia),Con uso de moto,Villa Urquiza,13
12/2020,Robo (con violencia),Robo Automotor,,1
12/2020,Robo (con violencia),Robo Automotor,Balvanera,3
12/2020,Robo (con violencia),Robo Automotor,Barracas,8
12/2020,Robo (con violencia),Robo Automotor,Boca,3
12/2020,Robo (con violencia),Robo Automotor,Caballito,1
12/2020,Robo (con violencia),Robo Automotor,Liniers,3
12/2020,Robo (con violencia),Robo Automotor,Mataderos,1
12/2020,Robo (con violencia),Robo Automotor,Monserrat,1
12/2020,Robo (con violencia),Robo Automotor,Nueva Pompeya,1
12/2020,Robo (con violencia),Robo Automotor,Parque Chacabuco,2
12/2020,Robo (con violencia),Robo Automotor,Parque Chas,2
12/2020,Robo (con violencia),Robo Automotor,Parque Patricios,6
12/2020,Robo (con violencia),Robo Automotor,Paternal,1
12/2020,Robo (con violencia),Robo Automotor,Saavedra,1
12/2020,Robo (con violencia),Robo Automotor,San Cristóbal,3
12/2020,Robo (con violencia),Robo Automotor,Villa Lugano,6
12/2020,Robo (con violencia),Robo Automotor,Villa Soldati,3
12/2020,Robo (con violencia),Robo Automotor,Villa Urquiza,1
