periodo,tipo,subtipo,barrio,total,comuna
12/2020,Hurto (sin violencia),Hurto Automotor,Palermo,11,14
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Avellaneda,5,9
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Chacabuco,8,7
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Chas,1,15
12/2020,Hurto (sin violencia),Hurto Automotor,Parque Patricios,6,4
12/2020,Hurto (sin violencia),Hurto Automotor,Paternal,3,15
12/2020,Hurto (sin violencia),Hurto Automotor,Recoleta,5,2
12/2020,Hurto (sin violencia),Hurto Automotor,Saavedra,1,12
12/2020,Hurto (sin violencia),Hurto Automotor,San Cristóbal,9,3
12/2020,Hurto (sin violencia),Hurto Automotor,San Nicolás,1,1
12/2020,Hurto (sin violencia),Hurto Automotor,San Telmo,2,1
12/2020,Hurto (sin violencia),Hurto Automotor,Vélez Sársfield,4,10
12/2020,Hurto (sin violencia),Hurto Automotor,Versalles,2,10
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Crespo,8,15
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Del Parque,10,11
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Devoto,4,11
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Gral. Mitre,4,11
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Lugano,12,8
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Luro,6,10
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Ortuzar,1,15
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Pueyrredón,5,12
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Santa Rita,2,11
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Soldati,7,8
12/2020,Hurto (sin violencia),Hurto Automotor,Villa Urquiza,7,12
12/2020,Lesiones,Siniestro Vial,,45,NA
12/2020,Lesiones,Siniestro Vial,Almagro,25,5
12/2020,Lesiones,Siniestro Vial,Balvanera,38,3
12/2020,Lesiones,Siniestro Vial,Barracas,18,4
12/2020,Lesiones,Siniestro Vial,Belgrano,22,13
12/2020,Lesiones,Siniestro Vial,Boca,5,4
12/2020,Lesiones,Siniestro Vial,Boedo,9,5
12/2020,Lesiones,Siniestro Vial,Caballito,34,6
12/2020,Lesiones,Siniestro Vial,Chacarita,14,15
12/2020,Lesiones,Siniestro Vial,Coghlan,6,12
12/2020,Lesiones,Siniestro Vial,Colegiales,8,13
12/2020,Lesiones,Siniestro Vial,Constitución,13,1
12/2020,Lesiones,Siniestro Vial,Flores,40,7
12/2020,Lesiones,Siniestro Vial,Floresta,16,10
12/2020,Lesiones,Siniestro Vial,Liniers,8,9
12/2020,Lesiones,Siniestro Vial,Mataderos,34,9
12/2020,Lesiones,Siniestro Vial,Monserrat,13,1
12/2020,Lesiones,Siniestro Vial,Monte Castro,9,10
12/2020,Lesiones,Siniestro Vial,Nueva Pompeya,15,4
12/2020,Lesiones,Siniestro Vial,Nuñez,16,13
12/2020,Lesiones,Siniestro Vial,Palermo,57,14
12/2020,Lesiones,Siniestro Vial,Parque Avellaneda,11,9
12/2020,Lesiones,Siniestro Vial,Parque Chacabuco,15,7
12/2020,Lesiones,Siniestro Vial,Parque Chas,4,15
12/2020,Lesiones,Siniestro Vial,Parque Patricios,7,4
12/2020,Lesiones,Siniestro Vial,Paternal,6,15
12/2020,Lesiones,Siniestro Vial,Puerto Madero,1,1
12/2020,Lesiones,Siniestro Vial,Recoleta,9,2
12/2020,Lesiones,Siniestro Vial,Retiro,14,1
12/2020,Lesiones,Siniestro Vial,Saavedra,14,12
12/2020,Lesiones,Siniestro Vial,San Cristóbal,9,3
12/2020,Lesiones,Siniestro Vial,San Nicolás,6,1
12/2020,Lesiones,Siniestro Vial,San Telmo,4,1
12/2020,Lesiones,Siniestro Vial,Vélez Sársfield,13,10
12/2020,Lesiones,Siniestro Vial,Versalles,11,10
12/2020,Lesiones,Siniestro Vial,Villa Crespo,31,15
12/2020,Lesiones,Siniestro Vial,Villa Del Parque,6,11
12/2020,Lesiones,Siniestro Vial,Villa Devoto,17,11
12/2020,Lesiones,Siniestro Vial,Villa Gral. Mitre,6,11
12/2020,Lesiones,Siniestro Vial,Villa Lugano,16,8
12/2020,Lesiones,Siniestro Vial,Villa Luro,13,10
12/2020,Lesiones,Siniestro Vial,Villa Ortuzar,3,15
12/2020,Lesiones,Siniestro Vial,Villa Pueyrredón,7,12
12/2020,Lesiones,Siniestro Vial,Villa Real,4,10
12/2020,Lesiones,Siniestro Vial,Villa Riachuelo,5,8
12/2020,Lesiones,Siniestro Vial,Villa Santa Rita,7,11
12/2020,Lesiones,Siniestro Vial,Villa Soldati,14,8
12/2020,Lesiones,Siniestro Vial,Villa Urquiza,15,12
12/2020,Robo (con violencia),,,8,NA
12/2020,Robo (con violencia),,Agronomía,9,15
12/2020,Robo (con violencia),,Almagro,120,5
12/2020,Robo (con violencia),,Balvanera,195,3
12/2020,Robo (con violencia),,Barracas,97,4
12/2020,Robo (con violencia),,Belgrano,126,13
12/2020,Robo (con violencia),,Boca,66,4
12/2020,Robo (con violencia),,Boedo,63,5
12/2020,Robo (con violencia),,Caballito,114,6
12/2020,Robo (con violencia),,Chacarita,53,15
12/2020,Robo (con violencia),,Coghlan,15,12
12/2020,Robo (con violencia),,Colegiales,34,13
12/2020,Robo (con violencia),,Constitución,106,1
12/2020,Robo (con violencia),,Flores,179,7
12/2020,Robo (con violencia),,Floresta,35,10
12/2020,Robo (con violencia),,Liniers,24,9
12/2020,Robo (con violencia),,Mataderos,60,9
12/2020,Robo (con violencia),,Monserrat,35,1
12/2020,Robo (con violencia),,Monte Castro,18,10
12/2020,Robo (con violencia),,Nueva Pompeya,77,4
12/2020,Robo (con violencia),,Nuñez,48,13
12/2020,Robo (con violencia),,Palermo,273,14
12/2020,Robo (con violencia),,Parque Avellaneda,60,9
12/2020,Robo (con violencia),,Parque Chacabuco,63,7
12/2020,Robo (con violencia),,Parque Chas,6,15
12/2020,Robo (con violencia),,Parque Patricios,51,4
12/2020,Robo (con violencia),,Paternal,21,15
12/2020,Robo (con violencia),,Puerto Madero,2,1
12/2020,Robo (con violencia),,Recoleta,159,2
12/2020,Robo (con violencia),,Retiro,92,1
12/2020,Robo (con violencia),,Saavedra,43,12
12/2020,Robo (con violencia),,San Cristóbal,72,3
12/2020,Robo (con violencia),,San Nicolás,59,1
12/2020,Robo (con violencia),,San Telmo,27,1
12/2020,Robo (con violencia),,Vélez Sársfield,20,10
12/2020,Robo (con violencia),,Versalles,13,10
12/2020,Robo (con violencia),,Villa Crespo,70,15
12/2020,Robo (con violencia),,Villa Del Parque,43,11
12/2020,Robo (con violencia),,Villa Devoto,28,11
12/2020,Robo (con violencia),,Villa Gral. Mitre,26,11
12/2020,Robo (con violencia),,Villa Lugano,118,8
12/2020,Robo (con violencia),,Villa Luro,18,10
12/2020,Robo (con violencia),,Villa Ortuzar,11,15
12/2020,Robo (con violencia),,Villa Pueyrredón,31,12
12/2020,Robo (con violencia),,Villa Real,9,10
12/2020,Robo (con violencia),,Villa Riachuelo,10,8
12/2020,Robo (con violencia),,Villa Santa Rita,27,11
12/2020,Robo (con violencia),,Villa Soldati,103,8
12/2020,Robo (con violencia),,Villa Urquiza,61,12
12/2020,Robo (con violencia),Con uso de moto,,2,NA
12/2020,Robo (con violencia),Con uso de moto,Almagro,30,5
12/2020,Robo (con violencia),Con uso de moto,Balvanera,23,3
12/2020,Robo (con violencia),Con uso de moto,Barracas,12,4
12/2020,Robo (con violencia),Con uso de moto,Belgrano,18,13
12/2020,Robo (con violencia),Con uso de moto,Boca,3,4
12/2020,Robo (con violencia),Con uso de moto,Boedo,12,5
12/2020,Robo (con violencia),Con uso de moto,Caballito,22,6
12/2020,Robo (con violencia),Con uso de moto,Chacarita,1,15
12/2020,Robo (con violencia),Con uso de moto,Coghlan,1,12
12/2020,Robo (con violencia),Con uso de moto,Colegiales,2,13
12/2020,Robo (con violencia),Con uso de moto,Constitución,13,1
12/2020,Robo (con violencia),Con uso de moto,Flores,11,7
12/2020,Robo (con violencia),Con uso de moto,Floresta,5,10
12/2020,Robo (con violencia),Con uso de moto,Liniers,4,9
12/2020,Robo (con violencia),Con uso de moto,Mataderos,10,9
12/2020,Robo (con violencia),Con uso de moto,Monserrat,4,1
12/2020,Robo (con violencia),Con uso de moto,Monte Castro,2,10
12/2020,Robo (con violencia),Con uso de moto,Nueva Pompeya,17,4
12/2020,Robo (con violencia),Con uso de moto,Nuñez,9,13
12/2020,Robo (con violencia),Con uso de moto,Palermo,23,14
12/2020,Robo (con violencia),Con uso de moto,Parque Avellaneda,5,9
12/2020,Robo (con violencia),Con uso de moto,Parque Chacabuco,21,7
12/2020,Robo (con violencia),Con uso de moto,Parque Chas,2,15
12/2020,Robo (con violencia),Con uso de moto,Parque Patricios,6,4
12/2020,Robo (con violencia),Con uso de moto,Recoleta,16,2
12/2020,Robo (con violencia),Con uso de moto,Retiro,7,1
12/2020,Robo (con violencia),Con uso de moto,Saavedra,6,12
12/2020,Robo (con violencia),Con uso de moto,San Cristóbal,6,3
12/2020,Robo (con violencia),Con uso de moto,San Nicolás,5,1
12/2020,Robo (con violencia),Con uso de moto,San Telmo,1,1
12/2020,Robo (con violencia),Con uso de moto,Vélez Sársfield,1,10
12/2020,Robo (con violencia),Con uso de moto,Versalles,2,10
12/2020,Robo (con violencia),Con uso de moto,Villa Crespo,3,15
12/2020,Robo (con violencia),Con uso de moto,Villa Del Parque,4,11
12/2020,Robo (con violencia),Con uso de moto,Villa Devoto,4,11
12/2020,Robo (con violencia),Con uso de moto,Villa Lugano,7,8
12/2020,Robo (con violencia),Con uso de moto,Villa Luro,1,10
12/2020,Robo (con violencia),Con uso de moto,Villa Ortuzar,1,15
12/2020,Robo (con violencia),Con uso de moto,Villa Pueyrredón,2,12
12/2020,Robo (con violencia),Con uso de moto,Villa Real,1,10
12/2020,Robo (con violencia),Con uso de moto,Villa Santa Rita,9,11
12/2020,Robo (con violencia),Con uso de moto,Villa Soldati,9,8
12/2020,Robo (con violencia),Con uso de moto,Villa Urquiza,13,12
12/2020,Robo (con violencia),Robo Automotor,,1,NA
12/2020,Robo (con violencia),Robo Automotor,Balvanera,3,3
12/2020,Robo (con violencia),Robo Automotor,Barracas,8,4
12/2020,Robo (con violencia),Robo Automotor,Boca,3,4
12/2020,Robo (con violencia),Robo Automotor,Caballito,1,6
12/2020,Robo (con violencia),Robo Automotor,Liniers,3,9
12/2020,Robo (con violencia),Robo Automotor,Mataderos,1,9
12/2020,Robo (con violencia),Robo Automotor,Monserrat,1,1
12/2020,Robo (con violencia),Robo Automotor,Nueva Pompeya,1,4
12/2020,Robo (con violencia),Robo Automotor,Parque Chacabuco,2,7
12/2020,Robo (con violencia),Robo Automotor,Parque Chas,2,15
12/2020,Robo (con violencia),Robo Automotor,Parque Patricios,6,4
12/2020,Robo (con violencia),Robo Automotor,Paternal,1,15
12/2020,Robo (con violencia),Robo Automotor,Saavedra,1,12
12/2020,Robo (con violencia),Robo Automotor,San Cristóbal,3,3
12/2020,Robo (con violencia),Robo Automotor,Villa Lugano,6,8
12/2020,Robo (con violencia),Robo Automotor,Villa Soldati,3,8
12/2020,Robo (con violencia),Robo Automotor,Villa Urquiza,1,12
