reunion_numero,reunion_tipo,sesion_numero,reunion_inicio,reunion_fin,sesion_camara,periodo_id
14,Informativa,10,2018-10-01T11:55:00,2018-10-01T18:34:00,DIPUTADOS,HCDN136R14
13,Minoría,,2018-09-11T12:15:00,2018-09-11T13:59:00,DIPUTADOS,HCDN136R13
12,Minoría,,2018-08-05T11:40:00,2018-08-05T13:51:00,DIPUTADOS,HCDN136R12
11,Informativa,9,2018-07-30T12:20:00,2018-07-30T19:48:00,DIPUTADOS,HCDN136R11
10,Especial,8,2018-07-02T12:11:00,2018-07-02T02:52:00,DIPUTADOS,HCDN136R10
9,Minoría,,2018-06-17T11:33:00,2018-06-17T13:43:00,DIPUTADOS,HCDN136R09
8,Ordinaria,7,2018-06-11T11:22:00,2018-06-12T10:41:00,DIPUTADOS,HCDN136R08
7,Informativa,6,2018-05-21T11:36:00,2018-05-21T17:43:00,DIPUTADOS,HCDN136R07
6,Especial,5,2018-05-07T12:32:00,2018-05-07T23:55:00,DIPUTADOS,HCDN136R06
5,Especial,4,2018-05-07T11:00:00,2018-05-07T12:31:00,DIPUTADOS,HCDN136R05
4,Especial,3,2018-04-23T11:18:00,2018-04-23T17:41:00,DIPUTADOS,HCDN136R04
3,Minoría,,2018-04-16T12:00:00,2018-04-16T17:52:00,DIPUTADOS,HCDN136R03
2,Ordinaria,2,2018-03-19T14:26:00,2018-03-20T03:24:00,DIPUTADOS,HCDN136R02
1,Informativa,1,2018-03-12T11:25:00,2018-03-12T18:33:00,DIPUTADOS,HCDN136R01
1,Apertura Ordinarias,,2018-02-27T10:30:00,2018-02-27T11:44:00,ASAMBLEA,HCDN136A01
26,Especial,3,2017-12-19T11:41:00,2017-12-20T04:22:00,DIPUTADOS,HCDN135R26
25,Especial continuación,2,2017-12-17T17:04:00,2017-12-18T04:18:00,DIPUTADOS,HCDN135R25
24,Especial,2,2017-12-16T14:12:00,2017-12-17T07:18:00,DIPUTADOS,HCDN135R24
23,Especial,1,2017-12-12T14:30:00,2017-12-12T15:07:00,DIPUTADOS,HCDN135R23
22,Preparatoria,,2017-12-04T11:30:00,2017-12-04T14:26:00,DIPUTADOS,HCDN135R22
21,Especial Minoría,,2017-11-28T11:00:00,2017-11-28T12:08:00,DIPUTADOS,HCDN135R21
20,Especial,14,2017-11-20T11:16:00,2017-11-21T03:45:00,DIPUTADOS,HCDN135R20
19,Especial,13,2017-11-06T12:20:00,2017-11-06T20:18:00,DIPUTADOS,HCDN135R19
18,Especial,12,2017-10-23T11:58:00,2017-10-23T14:17:00,DIPUTADOS,HCDN135R18
17,Informativa,11,2017-10-02T11:47:00,2017-10-02T17:22:00,DIPUTADOS,HCDN135R17
16,Especial,10,2017-09-11T11:52:00,2017-09-11T20:17:00,DIPUTADOS,HCDN135R16
15,Informativa,9,2017-08-28T11:45:00,2017-08-28T18:26:00,DIPUTADOS,HCDN135R15
14,Especial,8,2017-07-24T11:39:00,2017-07-24T20:17:00,DIPUTADOS,HCDN135R14
13,Especial Minoría,,2017-07-10T11:37:00,2017-07-10T12:30:00,DIPUTADOS,HCDN135R13
12,Especial cont.,7,2017-07-03T10:32:00,2017-07-03T17:28:00,DIPUTADOS,HCDN135R12
11,Especial,7,2017-06-26T12:15:00,2017-06-26T21:13:00,DIPUTADOS,HCDN135R11
10,Especial,6,2017-06-19T12:18:00,2017-06-19T15:25:00,DIPUTADOS,HCDN135R10
9,Especial Minoría,,2017-06-11T14:31:00,2017-06-11T16:12:00,DIPUTADOS,HCDN135R09
8,Informativa,5,2017-05-29T12:19:00,2017-05-29T19:03:00,DIPUTADOS,HCDN135R08
7,Especial Minoría,,2017-05-08T10:30:00,2017-05-08T10:40:00,DIPUTADOS,HCDN135R07
6,Especial,4,2017-05-07T15:18:00,2017-05-07T23:07:00,DIPUTADOS,HCDN135R06
5,Especial,3,2017-04-24T12:10:00,2017-04-24T20:17:00,DIPUTADOS,HCDN135R05
4,Especial,2,2017-04-17T12:13:00,2017-04-17T16:14:00,DIPUTADOS,HCDN135R04
3,Minoría,,2017-04-17T11:00:00,2017-04-17T11:51:00,DIPUTADOS,HCDN135R03
2,Minoría,,2017-04-16T16:36:00,2017-04-16T16:54:00,DIPUTADOS,HCDN135R02
1,Informativa,1,2017-03-20T11:41:00,2017-03-20T19:00:00,DIPUTADOS,HCDN135R01
1,Apertura Ordinarias,,2017-02-27T11:02:00,2017-02-27T12:27:00,ASAMBLEA,HCDN135A01
25,Especial,3,2017-02-13T12:01:00,2017-02-13T21:35:00,DIPUTADOS,HCDN134R25
24,Especial,2,2016-12-20T11:57:00,2016-12-20T16:09:00,DIPUTADOS,HCDN134R24
23,Especial,1,2016-12-04T12:45:00,2016-12-05T00:30:00,DIPUTADOS,HCDN134R23
22,Preparatoria,,2016-11-28T11:58:00,2016-11-28T13:35:00,DIPUTADOS,HCDN134R22
21,Especial,20,2016-11-21T11:18:00,2016-11-22T04:16:00,DIPUTADOS,HCDN134R21
20,Especial,19,2016-11-14T12:13:00,2016-11-15T00:34:00,DIPUTADOS,HCDN134R20
19,Especial,18,2016-10-31T11:59:00,2016-11-01T05:45:00,DIPUTADOS,HCDN134R19
18,Especial,17,2016-10-24T12:00:00,2016-10-24T17:33:00,DIPUTADOS,HCDN134R18
17,Especial,16,2016-10-17T11:37:00,2016-10-18T04:33:00,DIPUTADOS,HCDN134R17
16,Especial de Homenaje,15,2016-10-03T11:57:00,2016-10-03T14:53:00,DIPUTADOS,HCDN134R16
15,Ordinaria,14,2016-09-26T12:54:00,2016-09-26T21:54:00,DIPUTADOS,HCDN134R15
14,Ordinaria,13,2016-09-12T12:46:00,2016-09-12T18:14:00,DIPUTADOS,HCDN134R14
13,Especial,12,2016-08-30T12:11:00,2016-08-30T18:05:00,DIPUTADOS,HCDN134R13
12,Informativa,11,2016-08-22T12:49:00,2016-08-22T21:00:00,DIPUTADOS,HCDN134R12
