reunion_numero,reunion_tipo,sesion_numero,reunion_inicio,reunion_fin,sesion_camara,periodo_id
13,Especial Minoría,,2009-10-20T11:01:00,2009-10-20T11:17:00,DIPUTADOS,HCDN127R13
12,Especial,7,2009-10-12T12:00:00,2009-10-13T03:10:00,DIPUTADOS,HCDN127R12
11,Especial Minoría,,2009-10-05T11:17:00,2009-10-05T13:17:00,DIPUTADOS,HCDN127R11
10,Especial,6,2009-09-14T11:23:00,2009-09-15T03:15:00,DIPUTADOS,HCDN127R10
9,Especial Minoría,,2009-08-25T10:51:00,2009-08-25T11:38:00,DIPUTADOS,HCDN127R09
8,Especial,5,2009-08-10T11:10:00,2009-08-11T00:04:00,DIPUTADOS,HCDN127R08
7,Ordinaria,4,2009-08-03T17:08:00,2009-08-04T01:37:00,DIPUTADOS,HCDN127R07
6,Ordinaria,3,2009-05-18T15:08:00,2009-05-18T23:18:00,DIPUTADOS,HCDN127R06
5,Especial Minoría,,2009-04-13T10:00:00,2009-04-13T11:22:00,DIPUTADOS,HCDN127R05
4,Especial Minoría,,2009-03-17T10:59:00,2009-03-17T12:34:00,DIPUTADOS,HCDN127R04
3,Especial,2,2009-03-16T11:30:00,2009-03-16T21:04:00,DIPUTADOS,HCDN127R03
2,Especial Minoría,,2009-03-15T15:28:00,2009-03-15T15:53:00,DIPUTADOS,HCDN127R02
1,Ordinaria,1,2009-03-09T12:41:00,2009-03-09T20:17:00,DIPUTADOS,HCDN127R01
1,Apertura Ordinarias,,2009-02-27T10:45:00,2009-02-27T12:15:00,ASAMBLEA,HCDN127A01
41,Especial Minoría,,2008-12-16T11:14:00,2008-12-16T11:32:00,DIPUTADOS,HCDN126R41
40,Especial Minoría,,2008-12-16T10:40:00,2008-12-16T11:14:00,DIPUTADOS,HCDN126R40
39,Ordinaria cont.,4,2008-12-15T16:33:00,2008-12-15T17:42:00,DIPUTADOS,HCDN126R39
38,Especial,5,2008-12-15T11:48:00,2008-12-15T16:32:00,DIPUTADOS,HCDN126R38
37,Ordinaria,4,2008-12-08T14:32:00,2008-12-09T02:38:00,DIPUTADOS,HCDN126R37
36,Especial Homenaje,3,2008-12-08T11:49:00,2008-12-08T13:36:00,DIPUTADOS,HCDN126R36
35,Ordinaria,2,2008-12-01T19:49:00,2008-12-01T23:32:00,DIPUTADOS,HCDN126R35
34,Especial,1,2008-12-01T13:13:00,2008-12-01T19:45:00,DIPUTADOS,HCDN126R34
33,Preparatoria,,2008-12-01T11:42:00,2008-12-01T13:13:00,DIPUTADOS,HCDN126R33
32,Especial Minoría,,2008-11-25T12:23:00,2008-11-25T12:37:00,DIPUTADOS,HCDN126R32
31,Ordinaria Especial,16,2008-11-24T11:56:00,2008-11-24T22:20:00,DIPUTADOS,HCDN126R31
30,Especial Minoría,,2008-11-18T11:02:00,2008-11-18T11:15:00,DIPUTADOS,HCDN126R30
29,Especial Minoría,,2008-11-09T16:56:00,2008-11-09T17:18:00,DIPUTADOS,HCDN126R29
28,Especial,15,2008-11-04T11:36:00,2008-11-05T02:43:00,DIPUTADOS,HCDN126R28
27,Especial Minoría,,2008-10-28T10:48:00,2008-10-28T11:12:00,DIPUTADOS,HCDN126R27
26,Especial,14,2008-10-13T11:46:00,2008-10-14T01:51:00,DIPUTADOS,HCDN126R26
25,Especial Minoría,,2008-10-12T16:32:00,2008-10-12T16:33:00,DIPUTADOS,HCDN126R25
24,Informativa,13,2008-09-29T11:58:00,2008-09-29T16:37:00,DIPUTADOS,HCDN126R24
23,Ordinaria Especial,12,2008-09-29T11:09:00,2008-09-29T11:57:00,DIPUTADOS,HCDN126R23
22,Especial Minoría,,2008-09-21T16:33:00,2008-09-21T16:52:00,DIPUTADOS,HCDN126R22
21,Ordinaria,11,2008-09-01T18:45:00,2008-09-02T03:45:00,DIPUTADOS,HCDN126R21
20,Ordinaria,10,2008-08-25T17:48:00,2008-08-25T22:33:00,DIPUTADOS,HCDN126R20
19,Especial,9,2008-08-19T12:29:00,2008-08-20T02:14:00,DIPUTADOS,HCDN126R19
18,Ordinaria,8,2008-08-18T17:47:00,2008-08-18T20:33:00,DIPUTADOS,HCDN126R18
17,Especial,7,2008-07-02T18:58:00,2008-07-03T13:58:00,DIPUTADOS,HCDN126R17
16,Especial Minoría,,2008-06-15T15:33:00,2008-06-15T15:37:00,DIPUTADOS,HCDN126R16
15,Ordinaria,6,2008-06-09T17:33:00,2008-06-09T21:53:00,DIPUTADOS,HCDN126R15
14,Especial Minoría,,2008-06-08T16:20:00,2008-06-08T17:52:00,DIPUTADOS,HCDN126R14
13,Ordinaria cont.,5,2008-06-02T16:34:00,2008-06-02T21:11:00,DIPUTADOS,HCDN126R13
12,Especial Minoría,,2008-06-01T16:09:00,2008-06-01T18:09:00,DIPUTADOS,HCDN126R12
11,Especial Minoría,,2008-05-26T16:07:00,2008-05-26T18:12:00,DIPUTADOS,HCDN126R11
10,Ordinaria,5,2008-05-19T17:20:00,2008-05-19T22:37:00,DIPUTADOS,HCDN126R10
9,Minoría,,2008-05-18T16:35:00,2008-05-18T18:30:00,DIPUTADOS,HCDN126R09
8,Ordinaria,4,2008-05-05T18:23:00,2008-05-05T22:27:00,DIPUTADOS,HCDN126R08
7,Ordinaria cont.,3,2008-05-05T17:51:00,2008-05-05T18:23:00,DIPUTADOS,HCDN126R07
6,Ordinaria,3,2008-04-21T17:36:00,2008-04-22T00:58:00,DIPUTADOS,HCDN126R06
5,Ordinaria,2,2008-04-07T17:38:00,2008-04-07T23:15:00,DIPUTADOS,HCDN126R05
4,Ordinaria cont.,1,2008-04-07T16:12:00,2008-04-07T17:37:00,DIPUTADOS,HCDN126R04
3,Ordinaria cont.,1,2008-03-24T17:43:00,2008-03-25T01:30:00,DIPUTADOS,HCDN126R03
2,Especial Minoría,,2008-03-23T15:33:00,2008-03-23T16:02:00,DIPUTADOS,HCDN126R02
1,Ordinaria,1,2008-03-10T16:05:00,2008-03-10T23:33:00,DIPUTADOS,HCDN126R01
2,Pte Mexico Calderon,,2008-11-23T11:53:00,2008-11-23T12:45:00,ASAMBLEA,HCDN126A02
1,Apertura Ordinarias,,2008-02-28T11:36:00,2008-02-28T13:26:00,ASAMBLEA,HCDN126A01
